total_population,median_income,unemployed,labor_force,housing_units,state_name,state,year,data_source,unemployment_rate
2999370,47597,70481,1378722,1158071,Arkansas,5,2019,ACS_5yr_2019,5.112053046
39283497,75235,1199233,19921547,13044266,California,6,2019,ACS_5yr_2019,6.019778484
5610349,72331,131371,3069631,2148994,Colorado,8,2019,ACS_5yr_2019,4.279700068
3575074,78444,116456,1940825,1370746,Connecticut,9,2019,ACS_5yr_2019,6.000334909
957248,68287,26481,485533,363322,Delaware,10,2019,ACS_5yr_2019,5.454006216
692683,86420,27967,407904,284386,District of Columbia,11,2019,ACS_5yr_2019,6.856270103
20901636,55660,561448,10116026,7736311,Florida,12,2019,ACS_5yr_2019,5.550084589
10403847,58700,290560,5174538,3758798,Georgia,13,2019,ACS_5yr_2019,5.615187288
1422094,81275,30269,752064,459424,Hawaii,15,2019,ACS_5yr_2019,4.024790443
1717750,55785,35879,832286,630008,Idaho,16,2019,ACS_5yr_2019,4.310897937
12770631,65886,394981,6663517,4846134,Illinois,17,2019,ACS_5yr_2019,5.927515455
6665703,56303,161351,3367521,2570419,Indiana,18,2019,ACS_5yr_2019,4.791388086
3139508,60523,62573,1678141,1265473,Iowa,19,2019,ACS_5yr_2019,3.728709328
2910652,59597,61002,1519790,1129227,Kansas,20,2019,ACS_5yr_2019,4.013844018
4449052,50589,116945,2109169,1734618,Kentucky,21,2019,ACS_5yr_2019,5.544600741
4664362,49469,141020,2191990,1739497,Louisiana,22,2019,ACS_5yr_2019,6.43342351
1335492,57918,28922,701270,559921,Maine,23,2019,ACS_5yr_2019,4.124231751
6018848,84805,164396,3269234,2205204,Maryland,24,2019,ACS_5yr_2019,5.02857856
6850553,81215,183355,3800931,2617497,Massachusetts,25,2019,ACS_5yr_2019,4.823949711
9965265,57144,293894,4953003,3935041,Michigan,26,2019,ACS_5yr_2019,5.933652776
5563378,71306,111115,3072244,2185603,Minnesota,27,2019,ACS_5yr_2019,3.616737473
2984418,45081,99733,1346678,1104394,Mississippi,28,2019,ACS_5yr_2019,7.405853515
6104910,55461,139789,3074639,2414521,Missouri,29,2019,ACS_5yr_2019,4.546517494
1050649,54970,21513,536872,427871,Montana,30,2019,ACS_5yr_2019,4.007100389
1914571,61439,34535,1039498,759176,Nebraska,31,2019,ACS_5yr_2019,3.322276714
2972382,60365,92426,1507387,1098602,Nevada,32,2019,ACS_5yr_2019,6.131537555
1348124,76768,27430,759081,532037,New Hampshire,33,2019,ACS_5yr_2019,3.613580105
8878503,82545,258093,4689849,3231874,New Jersey,34,2019,ACS_5yr_2019,5.503226223
2092454,49754,63458,961999,780249,New Mexico,35,2019,ACS_5yr_2019,6.596472554
19572319,68486,547509,10069219,7343234,New York,36,2019,ACS_5yr_2019,5.437452498
10264876,54602,281344,5139789,3965482,North Carolina,37,2019,ACS_5yr_2019,5.473843382
756717,64894,11406,420291,318322,North Dakota,38,2019,ACS_5yr_2019,2.713833986
11655397,56602,314483,5918471,4676358,Ohio,39,2019,ACS_5yr_2019,5.313585215
3932870,52919,94834,1885928,1480061,Oklahoma,40,2019,ACS_5yr_2019,5.02850586
4129803,62818,114559,2096692,1611982,Oregon,41,2019,ACS_5yr_2019,5.463797258
12791530,61744,347378,6553389,5053106,Pennsylvania,42,2019,ACS_5yr_2019,5.30073829
3318447,20539,196934,1227292,1192654,Puerto Rico,72,2019,ACS_5yr_2019,16.04622209
1057231,67167,30455,567926,410489,Rhode Island,44,2019,ACS_5yr_2019,5.362494409
5020806,53199,139526,2447854,1921862,South Carolina,45,2019,ACS_5yr_2019,5.69993145
